Title,Genre,Game Developer,Publisher,Release year,Sold copies(million),Review(metacritic)
Starcraft,RTS,Blizzard Entertainment,Blizzard Entertainment,1998,17.6,88
Starcraft 2,RTS,Blizzard Entertainment,Blizzard Entertainment,2010,6,93
Witcher 3,RPG,CD PROJEKT RED,CD PROJEKT RED,2015,28.3,93
Doom,FPS,id Software,id Software,1993,1.1,83
Doom(2016),FPS,id Software,Bethesda Softworks,2016,3.6,85
Minecraft,"Sandbox, Open-World",Mojang,Microsoft Studios,2011,200,93
Warcraft 3,RTS,Blizzard Entertainment,Blizzard Entertainment,2002,4.4,92
BFME,RTS,EA Los Angeles,Ea Games,2004,1,82
Ori and the Blind Forest,Platformer,Moon Studios,Microsoft Studios,2015,2,88
The Sims,Life Simulation,Maxis,Electronic Arts,2000,6.3,92
Rainbow six siege,Tactical shooter,Ubisoft Montreal,Ubisoft,2015,70,79
For Honor,"Action, Fighting",Ubisoft Montreal,Ubisoft,2017,NA,76
Age of empieres III,RTS,Ensemble Studios,Microsoft Game Studios,2005,2,81
Total annihaltion,RTS,Cavedog Entertainment,Cavedog Entertainment,1997,1.5,86
Skyrim,"Action, RPG",Bethesda Game Studios,Bethesda Softworks,2011,50,94
The last of us,"Action, Adventure, Survial horror",Naughty Dog,Sony Computer Entertainment,2013,17,95
Mass effect 3,"Action, RPG",BioWare,Electronic Arts,2012,3.5,89
Halo 3,FPS,Bungie,Microsoft Game Studios,2007,14.5,94
Cyberpunk 2077,"Action, RPG",CD PROJEKT RED,CD PROJEKT RED,2020,13,85
God of War,"Action, Adventure, Hack and slash",Santa Monica Studio,Sony Computer Entertainment,2005,4.6,94
Super Mario Bros.,Platformer,Nintendo EAD,Nintendo,1985,50,84
Borderlands 2,"FPS, RPG, Action",Gearbox Software,2K Games,2012,22,89
Cities: Skyline,"Simulation, Strategy",Colossal Order Ltd.,Pardox Interactive,2015,3.5,85
Star Wars: Battlefront,"FPS, TPS",DICE,Electronic Arts,2015,13,65
Final fantasy VII,RPG,Square,Square Enix,1997,12.8,92
Fire Emblem: Three Houses,"Tactical, RPG","Intelligent Systems, Koei Tecmo",Nintendo,2019,3.02,89
Mario kart 8,Kart Racing,Nintendo EAD,Nintendo,2014,33.41,92
Amnesia: The Dark Descent,"Survial horror, Adventure",Frictional Games,Frictional Games,2010,1.4,85
Guitar Hero III: Legends of Rock,"Music, Rhythm",Neversoft,Activision,2007,3,85
Command & Conquer: Red Alert,RTS,Westwood Studios,Virgin Interactive Entertainment,1996,2,90
Call of duty 4: Modern Warfare,FPS,Infinity Ward,Activision,2007,7,92
Uncharted 2: Among Thieves,"Action, Adventure, Platformer, TPS",Naughty Dog,Sony Computer Entertainment,2009,6,96
Orcs Most Die!,"Tower defense, Action",Robot Entertainment,Robot Entertainment,2012,NA,83
Terraria,"Action, Adventure, Sandbox",Re-Logic,505 Games,2011,30.3,83
Diablo 3,"Action, RPG, Hack and slash",Blizzard Entertainment,Blizzard Entertainment,2012,30,88
Bioshock,FPS,2K Boston,2K Games,2007,4,96
Half-life 2,"FPS, Action",Valve,Valve,2004,12,96
Portal 2,"Puzzle, Platformer",Valve,Valve,2011,4,95
Portal,"Puzzle, Platformer",Valve,Valve,2007,4,90
Tetris,"Puzzle, Tile-matching",Alexey Pajitnov,Na,1984,35,NA
Painters Guild,"Casual, Simulation, Strategy",Lucas Molina,Lucas Molina,2015,NA,NA
Assassin's Creed III,"Action, Adventure, stealth",Ubisoft Montreal,Ubisoft,2012,12,80
